file,speaker
synthesized_audio/de1_happy_p000000.wav,de1
synthesized_audio/de1_angry_p000001.wav,de1
synthesized_audio/de1_sad_p000002.wav,de1
synthesized_audio/de1_neutral_p000003.wav,de1
synthesized_audio/de1_bored_p000004.wav,de1
synthesized_audio/de2_angry_p000007.wav,de2
synthesized_audio/de2_neutral_p000009.wav,de2
synthesized_audio/de2_bored_p000010.wav,de2
synthesized_audio/de2_scared_p000011.wav,de2
synthesized_audio/de3_happy_p000012.wav,de3
synthesized_audio/de3_angry_p000013.wav,de3
synthesized_audio/de3_sad_p000014.wav,de3
synthesized_audio/de3_neutral_p000015.wav,de3
synthesized_audio/de3_bored_p000016.wav,de3
synthesized_audio/de4_happy_p000018.wav,de4
synthesized_audio/de4_sad_p000020.wav,de4
synthesized_audio/de4_neutral_p000021.wav,de4
synthesized_audio/de4_bored_p000022.wav,de4
synthesized_audio/de6_happy_p000024.wav,de6
synthesized_audio/de6_angry_p000025.wav,de6
synthesized_audio/de6_sad_p000026.wav,de6
synthesized_audio/de6_neutral_p000027.wav,de6
synthesized_audio/de6_bored_p000028.wav,de6
synthesized_audio/de6_scared_p000029.wav,de6
synthesized_audio/de7_happy_p000030.wav,de7
synthesized_audio/de7_angry_p000031.wav,de7
synthesized_audio/de7_sad_p000032.wav,de7
synthesized_audio/de7_neutral_p000033.wav,de7
synthesized_audio/de7_bored_p000034.wav,de7
synthesized_audio/de7_scared_p000035.wav,de7
synthesized_audio/de1_happy_p000036.wav,de1
synthesized_audio/de1_neutral_p000039.wav,de1
synthesized_audio/de2_happy_p000042.wav,de2
synthesized_audio/de2_angry_p000043.wav,de2
synthesized_audio/de2_sad_p000044.wav,de2
synthesized_audio/de2_bored_p000046.wav,de2
synthesized_audio/de2_scared_p000047.wav,de2
synthesized_audio/de3_neutral_p000051.wav,de3
synthesized_audio/de3_bored_p000052.wav,de3
synthesized_audio/de3_scared_p000053.wav,de3
synthesized_audio/de4_angry_p000055.wav,de4
synthesized_audio/de4_sad_p000056.wav,de4
synthesized_audio/de4_neutral_p000057.wav,de4
synthesized_audio/de4_bored_p000058.wav,de4
synthesized_audio/de4_scared_p000059.wav,de4
synthesized_audio/de6_happy_p000060.wav,de6
synthesized_audio/de6_angry_p000061.wav,de6
synthesized_audio/de6_neutral_p000063.wav,de6
synthesized_audio/de6_bored_p000064.wav,de6
synthesized_audio/de6_scared_p000065.wav,de6
synthesized_audio/de7_happy_p000066.wav,de7
synthesized_audio/de7_angry_p000067.wav,de7
synthesized_audio/de7_sad_p000068.wav,de7
synthesized_audio/de7_neutral_p000069.wav,de7
synthesized_audio/de7_bored_p000070.wav,de7
synthesized_audio/de7_scared_p000071.wav,de7
synthesized_audio/de1_happy_p000072.wav,de1
synthesized_audio/de1_neutral_p000075.wav,de1
synthesized_audio/de1_scared_p000077.wav,de1
synthesized_audio/de2_angry_p000079.wav,de2
synthesized_audio/de2_neutral_p000081.wav,de2
synthesized_audio/de2_bored_p000082.wav,de2
synthesized_audio/de3_happy_p000084.wav,de3
synthesized_audio/de3_angry_p000085.wav,de3
synthesized_audio/de3_neutral_p000087.wav,de3
synthesized_audio/de3_bored_p000088.wav,de3
synthesized_audio/de4_happy_p000090.wav,de4
synthesized_audio/de4_angry_p000091.wav,de4
synthesized_audio/de4_sad_p000092.wav,de4
synthesized_audio/de4_neutral_p000093.wav,de4
synthesized_audio/de4_bored_p000094.wav,de4
synthesized_audio/de4_scared_p000095.wav,de4
synthesized_audio/de6_happy_p000096.wav,de6
synthesized_audio/de6_angry_p000097.wav,de6
synthesized_audio/de6_sad_p000098.wav,de6
synthesized_audio/de6_neutral_p000099.wav,de6
synthesized_audio/de6_bored_p000100.wav,de6
synthesized_audio/de6_scared_p000101.wav,de6
synthesized_audio/de7_happy_p000102.wav,de7
synthesized_audio/de7_angry_p000103.wav,de7
synthesized_audio/de7_sad_p000104.wav,de7
synthesized_audio/de7_neutral_p000105.wav,de7
synthesized_audio/de7_bored_p000106.wav,de7
synthesized_audio/de7_scared_p000107.wav,de7
synthesized_audio/de1_neutral_p000111.wav,de1
synthesized_audio/de1_bored_p000112.wav,de1
synthesized_audio/de1_scared_p000113.wav,de1
synthesized_audio/de2_happy_p000114.wav,de2
synthesized_audio/de2_sad_p000116.wav,de2
synthesized_audio/de2_neutral_p000117.wav,de2
synthesized_audio/de2_bored_p000118.wav,de2
synthesized_audio/de2_scared_p000119.wav,de2
synthesized_audio/de3_angry_p000121.wav,de3
synthesized_audio/de3_sad_p000122.wav,de3
synthesized_audio/de3_neutral_p000123.wav,de3
synthesized_audio/de3_bored_p000124.wav,de3
synthesized_audio/de4_happy_p000126.wav,de4
synthesized_audio/de4_angry_p000127.wav,de4
synthesized_audio/de4_sad_p000128.wav,de4
synthesized_audio/de4_neutral_p000129.wav,de4
synthesized_audio/de4_bored_p000130.wav,de4
synthesized_audio/de4_scared_p000131.wav,de4
synthesized_audio/de6_happy_p000132.wav,de6
synthesized_audio/de6_angry_p000133.wav,de6
synthesized_audio/de6_sad_p000134.wav,de6
synthesized_audio/de6_neutral_p000135.wav,de6
synthesized_audio/de6_bored_p000136.wav,de6
synthesized_audio/de7_happy_p000138.wav,de7
synthesized_audio/de7_angry_p000139.wav,de7
synthesized_audio/de7_sad_p000140.wav,de7
synthesized_audio/de7_neutral_p000141.wav,de7
