file,emotion
synthesized_audio/de1_happy_p000000.wav,happiness
synthesized_audio/de1_angry_p000001.wav,anger
synthesized_audio/de1_sad_p000002.wav,sadness
synthesized_audio/de1_neutral_p000003.wav,neutral
synthesized_audio/de1_bored_p000004.wav,boredom
synthesized_audio/de2_angry_p000007.wav,anger
synthesized_audio/de2_neutral_p000009.wav,neutral
synthesized_audio/de2_bored_p000010.wav,boredom
synthesized_audio/de2_scared_p000011.wav,fear
synthesized_audio/de3_happy_p000012.wav,happiness
synthesized_audio/de3_angry_p000013.wav,anger
synthesized_audio/de3_sad_p000014.wav,sadness
synthesized_audio/de3_neutral_p000015.wav,neutral
synthesized_audio/de3_bored_p000016.wav,boredom
synthesized_audio/de4_happy_p000018.wav,happiness
synthesized_audio/de4_sad_p000020.wav,sadness
synthesized_audio/de4_neutral_p000021.wav,neutral
synthesized_audio/de4_bored_p000022.wav,boredom
synthesized_audio/de1_happy_p000036.wav,happiness
synthesized_audio/de1_neutral_p000039.wav,neutral
synthesized_audio/de2_happy_p000042.wav,happiness
synthesized_audio/de2_angry_p000043.wav,anger
synthesized_audio/de2_sad_p000044.wav,sadness
synthesized_audio/de2_bored_p000046.wav,boredom
synthesized_audio/de2_scared_p000047.wav,fear
synthesized_audio/de3_neutral_p000051.wav,neutral
synthesized_audio/de3_bored_p000052.wav,boredom
synthesized_audio/de3_scared_p000053.wav,fear
synthesized_audio/de4_angry_p000055.wav,anger
synthesized_audio/de4_sad_p000056.wav,sadness
synthesized_audio/de4_neutral_p000057.wav,neutral
synthesized_audio/de4_bored_p000058.wav,boredom
synthesized_audio/de4_scared_p000059.wav,fear
synthesized_audio/de1_happy_p000072.wav,happiness
synthesized_audio/de1_neutral_p000075.wav,neutral
synthesized_audio/de1_scared_p000077.wav,fear
synthesized_audio/de2_angry_p000079.wav,anger
synthesized_audio/de2_neutral_p000081.wav,neutral
synthesized_audio/de2_bored_p000082.wav,boredom
synthesized_audio/de3_happy_p000084.wav,happiness
synthesized_audio/de3_angry_p000085.wav,anger
synthesized_audio/de3_neutral_p000087.wav,neutral
synthesized_audio/de3_bored_p000088.wav,boredom
synthesized_audio/de4_happy_p000090.wav,happiness
synthesized_audio/de4_angry_p000091.wav,anger
synthesized_audio/de4_sad_p000092.wav,sadness
synthesized_audio/de4_neutral_p000093.wav,neutral
synthesized_audio/de4_bored_p000094.wav,boredom
synthesized_audio/de4_scared_p000095.wav,fear
synthesized_audio/de1_neutral_p000111.wav,neutral
synthesized_audio/de1_bored_p000112.wav,boredom
synthesized_audio/de1_scared_p000113.wav,fear
synthesized_audio/de2_happy_p000114.wav,happiness
synthesized_audio/de2_sad_p000116.wav,sadness
synthesized_audio/de2_neutral_p000117.wav,neutral
synthesized_audio/de2_bored_p000118.wav,boredom
synthesized_audio/de2_scared_p000119.wav,fear
synthesized_audio/de3_angry_p000121.wav,anger
synthesized_audio/de3_sad_p000122.wav,sadness
synthesized_audio/de3_neutral_p000123.wav,neutral
synthesized_audio/de3_bored_p000124.wav,boredom
synthesized_audio/de4_happy_p000126.wav,happiness
synthesized_audio/de4_angry_p000127.wav,anger
synthesized_audio/de4_sad_p000128.wav,sadness
synthesized_audio/de4_neutral_p000129.wav,neutral
synthesized_audio/de4_bored_p000130.wav,boredom
synthesized_audio/de4_scared_p000131.wav,fear
synthesized_audio/de1_happy_p000144.wav,happiness
synthesized_audio/de1_neutral_p000147.wav,neutral
synthesized_audio/de1_scared_p000149.wav,fear
synthesized_audio/de2_happy_p000150.wav,happiness
synthesized_audio/de2_angry_p000151.wav,anger
synthesized_audio/de2_sad_p000152.wav,sadness
synthesized_audio/de2_scared_p000155.wav,fear
synthesized_audio/de3_happy_p000156.wav,happiness
synthesized_audio/de3_neutral_p000159.wav,neutral
synthesized_audio/de3_bored_p000160.wav,boredom
synthesized_audio/de4_happy_p000162.wav,happiness
synthesized_audio/de4_angry_p000163.wav,anger
synthesized_audio/de4_sad_p000164.wav,sadness
synthesized_audio/de4_neutral_p000165.wav,neutral
synthesized_audio/de4_scared_p000167.wav,fear
synthesized_audio/de1_happy_p000180.wav,happiness
synthesized_audio/de1_sad_p000182.wav,sadness
synthesized_audio/de1_neutral_p000183.wav,neutral
synthesized_audio/de1_bored_p000184.wav,boredom
synthesized_audio/de1_scared_p000185.wav,fear
synthesized_audio/de2_happy_p000186.wav,happiness
synthesized_audio/de2_angry_p000187.wav,anger
synthesized_audio/de2_sad_p000188.wav,sadness
synthesized_audio/de2_neutral_p000189.wav,neutral
synthesized_audio/de2_bored_p000190.wav,boredom
synthesized_audio/de2_scared_p000191.wav,fear
synthesized_audio/de3_happy_p000192.wav,happiness
synthesized_audio/de3_angry_p000193.wav,anger
synthesized_audio/de3_neutral_p000195.wav,neutral
synthesized_audio/de3_bored_p000196.wav,boredom
synthesized_audio/de4_happy_p000198.wav,happiness
synthesized_audio/de4_angry_p000199.wav,anger
synthesized_audio/de4_sad_p000200.wav,sadness
synthesized_audio/de4_neutral_p000201.wav,neutral
synthesized_audio/de4_bored_p000202.wav,boredom
synthesized_audio/de4_scared_p000203.wav,fear
synthesized_audio/de1_happy_p000216.wav,happiness
synthesized_audio/de1_angry_p000217.wav,anger
synthesized_audio/de1_neutral_p000219.wav,neutral
synthesized_audio/de1_bored_p000220.wav,boredom
synthesized_audio/de1_scared_p000221.wav,fear
synthesized_audio/de2_happy_p000222.wav,happiness
synthesized_audio/de2_sad_p000224.wav,sadness
synthesized_audio/de2_neutral_p000225.wav,neutral
synthesized_audio/de2_bored_p000226.wav,boredom
synthesized_audio/de2_scared_p000227.wav,fear
synthesized_audio/de3_happy_p000228.wav,happiness
synthesized_audio/de3_angry_p000229.wav,anger
synthesized_audio/de3_sad_p000230.wav,sadness
synthesized_audio/de3_neutral_p000231.wav,neutral
synthesized_audio/de3_scared_p000233.wav,fear
synthesized_audio/de4_happy_p000234.wav,happiness
